task,modality_group,feature,source,declared_dtype,shape,files,frames_or_rows,count_source,fps,bytes,bytes_human,details
430_towel_hanging_lerobot,latent,observation.images.wrist,latent_files,pth,,207,33310,filename_span_end_minus_start,24,1127001227,1.0 GiB,"{""episode_segments"": 207, ""inspected_files"": 1, ""inspected_numel"": 3034112, ""tensor_samples"": [{""dtype"": ""torch.bfloat16"", ""file"": ""episode_000000_0_244.pth"", ""name"": ""latent"", ""numel"": 936960, ""shape"": [19520, 48], ""type"": ""Tensor""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""latent_num_frames"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""latent_height"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""latent_width"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""video_num_frames"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""video_height"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""video_width"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": ""torch.bfloat16"", ""file"": ""episode_000000_0_244.pth"", ""name"": ""text_emb"", ""numel"": 2097152, ""shape"": [512, 4096], ""type"": ""Tensor""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""text"", ""numel"": null, ""shape"": null, ""type"": ""str""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[0]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[1]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[2]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[3]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[4]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[5]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[6]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[7]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[8]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[9]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_244.pth"", ""name"": ""frame_ids[10]"", ""numel"": null, ""shape"": null, ""type"": ""int""}]}"
501_bread_moving_lerobot,pose,start_pose,info,float32,[6],,20518,declared_expected,24,,,
501_bread_moving_lerobot,pose,end_pose,info,float32,[6],,20518,declared_expected,24,,,
501_bread_moving_lerobot,action,action,info,float32,[10],,20518,declared_expected,24,,,
501_bread_moving_lerobot,state,observation.state,info,float32,[10],,20518,declared_expected,24,,,
501_bread_moving_lerobot,state,observation.state_phone,info,float32,[6],,20518,declared_expected,24,,,
501_bread_moving_lerobot,vision_video,observation.images.wrist,info,video,"[480, 640, 3]",,20518,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
501_bread_moving_lerobot,vision_video,observation.images.phone,info,video,"[480, 640, 3]",,20518,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
501_bread_moving_lerobot,depth_image,observation.images.phone_depth,info,image,"[480, 640, 1]",,20518,declared_expected,24,,,
501_bread_moving_lerobot,tactile_video,observation.tactiles.left,info,video,"[224, 224, 3]",,20518,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
501_bread_moving_lerobot,tactile_video,observation.tactiles.right,info,video,"[224, 224, 3]",,20518,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
501_bread_moving_lerobot,force,observation.forces.left,info,float32,[1],,20518,declared_expected,24,,,
501_bread_moving_lerobot,force,observation.forces.right,info,float32,[1],,20518,declared_expected,24,,,
